state_abrv,registration deadline,starting day of voting early,id for in person voting,who can request,deadline to request,absentee mailed out,date to return absentee by,witness needed,regScore,earlyVoteScore,idScore,requestScore,absenteeMailScore,witnessScore,requestDateScore,returnScore,whoRequestScore,covIndex
OH,2020-10-05,2020-10-06,1,0,2020-10-31,1,2020-11-03,0,0.9666666666666667,0.3999999999999999,0.5,0.0,0.5,0,0.15384615384615374,0.0,0.0,-0.8166666666666667
OK,2020-10-09,2020-10-29,1,0,2020-10-27,2,2020-11-03,0,0.8333333333333334,0.911111111111111,0.5,0.0,1.0,0,0.46153846153846156,0.0,0.0,-0.37777777777777777
OR,2020-10-13,2020-11-02,0,0,2020-11-02,0,2020-11-03,0,0.7,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-1.15
PA,2020-10-19,2020-11-02,0,0,2020-10-27,2,2020-11-03,0,0.5,1.0,0.0,0.0,1.0,0,0.46153846153846156,0.0,0.0,-0.75
RI,2020-11-03,2020-10-14,2,0,2020-11-02,1,2020-11-03,0,0.0,0.5777777777777777,1.0,0.0,0.5,0,0.0,0.0,0.0,-0.9611111111111112
SC,2020-10-05,2020-11-02,2,1,2020-11-02,2,2020-11-03,0,0.9666666666666667,1.0,1.0,0.5,1.0,0,0.0,0.0,0.5,0.4833333333333334
SD,2020-10-19,2020-11-02,1,0,2020-11-02,1,2020-11-03,0,0.5,1.0,0.5,0.0,0.5,0,0.0,0.0,0.0,-0.75
TN,2020-10-05,2020-10-14,2,1,2020-10-27,2,2020-11-03,0,0.9666666666666667,0.5777777777777777,1.0,0.5,1.0,0,0.46153846153846156,0.0,0.5,0.27222222222222214
TX,2020-10-05,2020-10-13,1,2,2020-10-23,1,2020-11-03,0,0.9666666666666667,0.5555555555555555,0.5,1.0,0.5,0,0.7692307692307692,0.0,1.0,0.26111111111111107
UT,2020-11-03,2020-10-20,1,0,2020-11-02,0,2020-11-03,0,0.0,0.711111111111111,0.5,0.0,0.0,0,0.0,0.0,0.0,-1.3944444444444444
VA,2020-10-15,2020-09-18,1,0,2020-10-31,2,2020-11-03,0,0.6333333333333333,0.0,0.5,0.0,1.0,0,0.15384615384615374,0.0,0.0,-0.9333333333333333
VT,2020-11-03,2020-11-02,0,0,2020-11-02,0,2020-11-02,0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,-1.0
WA,2020-11-03,2020-10-16,2,0,2020-11-02,0,2020-11-03,0,0.0,0.6222222222222221,1.0,0.0,0.0,0,0.0,0.0,0.0,-1.1888888888888889
WI,2020-10-30,2020-10-20,2,0,2020-10-29,1,2020-11-03,1,0.13333333333333333,0.711111111111111,1.0,0.0,0.5,1,0.3076923076923077,0.0,0.0,-0.32777777777777795
WV,2020-10-13,2020-10-21,1,2,2020-10-28,2,2020-11-03,0,0.7,0.7333333333333332,0.5,1.0,1.0,0,0.3846153846153846,0.0,1.0,0.4666666666666668
WY,2020-11-03,2020-11-02,0,0,2020-11-02,1,2020-11-03,0,0.0,1.0,0.0,0.0,0.5,0,0.0,0.0,0.0,-1.25
